value,units,duration,cleanup,beam_diameter
0.7,watts,60.0,60.0,
1.0,watts,60.0,60.0,
1.6,watts,60.0,60.0,
2.2,watts,60.0,60.0,
3.0,watts,60.0,60.0,
4.0,watts,60.0,60.0,
5.0,watts,60.0,60.0,
5.5,watts,60.0,60.0,
6.0,watts,60.0,60.0,
7.0,watts,60.0,60.0,
10.0,watts,60.0,60.0,
18.0,watts,60.0,60.0,
