value,units,duration,cleanup,beam_diameter
550.0,watts,1320.0,30.0
600.0,watts,1320.0,30.0
650.0,watts,1320.0,30.0
700.0,watts,1320.0,30.0
730.0,watts,1320.0,30.0
745.0,watts,1320.0,30.0
760.0,watts,1320.0,30.0
770.0,watts,1320.0,30.0
780.0,watts,1320.0,30.0
790.0,watts,1320.0,30.0
800.0,watts,1320.0,30.0
805.0,watts,1320.0,30.0
810.0,watts,1320.0,30.0
815.0,watts,1320.0,30.0
820.0,watts,1320.0,30.0
830.0,watts,1320.0,30.0
840.0,watts,1320.0,30.0
850.0,watts,1320.0,30.0
870.0,watts,1320.0,30.0
890.0,watts,1320.0,30.0
910.0,watts,1320.0,30.0
925.0,watts,1320.0,30.0
940.0,watts,1320.0,30.0
960.0,watts,1320.0,30.0
980.0,watts,1320.0,30.0
1000.0,watts,1320.0,30.0
1030.0,watts,1320.0,30.0
1050.0,watts,1320.0,30.0
1080.0,watts,1320.0,30.0
1120.0,watts,1320.0,30.0
1200.0,watts,420.0,30.0
1400.0,watts,420.0,30.0
1200.0,watts,420.0,30.0
