value,units,duration,cleanup,beam_diameter
1.0,watts,60.0,45.0,
1.5,watts,60.0,45.0,
2.5,watts,60.0,45.0,
3.0,watts,60.0,45.0,
3.0,watts,60.0,45.0,
3.75,watts,60.0,45.0,
4.0,watts,60.0,45.0,
4.5,watts,60.0,45.0,
5.0,watts,60.0,45.0,
5.5,watts,60.0,45.0,
6.0,watts,60.0,45.0,
6.5,watts,60.0,45.0,
7.0,watts,60.0,45.0,
8.0,watts,60.0,45.0,
9.0,watts,60.0,45.0,
11.0,watts,60.0,45.0,
15.0,watts,60.0,45.0,
