value,units,duration,cleanup
0.2,watts,40.0,300.0
0.3,watts,40.0,300.0
0.4,watts,40.0,300.0
0.5,watts,40.0,300.0
0.6,watts,40.0,300.0
0.7,watts,40.0,300.0
0.8,watts,40.0,300.0
1.0,watts,40.0,300.0
1.2,watts,40.0,300.0
1.45,watts,40.0,300.0
1.7,watts,40.0,300.0
2.2,watts,40.0,300.0
4.0,watts,40.0,300.0
21.0,watts,40.0,300.0
