value,units,duration,cleanup,beam_diameter
550.0,temp,300.0,60.0
600.0,temp,300.0,60.0
650.0,temp,300.0,60.0
700.0,temp,300.0,60.0
750.0,temp,300.0,60.0
800.0,temp,300.0,60.0
850.0,temp,300.0,60.0
900.0,temp,300.0,60.0
950.0,temp,300.0,60.0
1000.0,temp,300.0,60.0
1025.0,temp,300.0,60.0
1050.0,temp,300.0,60.0
1075.0,temp,300.0,60.0
1100.0,temp,300.0,60.0
1125.0,temp,300.0,60.0
1150.0,temp,300.0,60.0
1175.0,temp,300.0,60.0
1200.0,temp,300.0,60.0
1250.0,temp,300.0,60.0
1300.0,temp,300.0,60.0
1400.0,temp,300.0,60.0
1650.0,temp,300.0,60.0
1650.0,temp,300.0,60.0
