value,units,duration,cleanup,beam_diameter
450.0,watts,600.0,60.0
500.0,watts,600.0,60.0
525.0,watts,600.0,60.0
550.0,watts,600.0,60.0
575.0,watts,600.0,60.0
600.0,watts,600.0,60.0
625.0,watts,600.0,60.0
650.0,watts,600.0,60.0
675.0,watts,600.0,60.0
700.0,watts,600.0,60.0
725.0,watts,600.0,60.0
750.0,watts,600.0,60.0
800.0,watts,600.0,60.0
825.0,watts,600.0,60.0
850.0,watts,600.0,60.0
900.0,watts,600.0,60.0
1000.0,watts,600.0,60.0
1100.0,watts,600.0,60.0
1650.0,watts,600.0,60.0
