value,units,duration,cleanup,beam_diameter
450.0,temp,720.0,30.0
450.0,temp,1320.0,30.0
500.0,temp,720.0,30.0
500.0,temp,1320.0,30.0
550.0,temp,720.0,30.0
550.0,temp,1320.0,30.0
600.0,temp,720.0,30.0
600.0,temp,1320.0,30.0
650.0,temp,720.0,30.0
650.0,temp,1320.0,30.0
700.0,temp,720.0,30.0
700.0,temp,1320.0,30.0
750.0,temp,720.0,30.0
750.0,temp,1320.0,30.0
800.0,temp,720.0,30.0
800.0,temp,1320.0,30.0
850.0,temp,720.0,30.0
850.0,temp,1320.0,30.0
900.0,temp,720.0,30.0
900.0,temp,1320.0,30.0
950.0,temp,720.0,30.0
950.0,temp,1320.0,30.0
1000.0,temp,720.0,30.0
1000.0,temp,1320.0,30.0
1050.0,temp,720.0,30.0
1050.0,temp,1320.0,30.0
1050.0,temp,3720.0,30.0
1050.0,temp,7320.0,30.0
1100.0,temp,720.0,30.0
1150.0,temp,720.0,30.0
1200.0,temp,720.0,30.0
1450.0,temp,420.0,30.0
1500.0,temp,360.0,30.0
