value,units,duration,cleanup,beam_diameter
0.4,watts,60.0,45.0,
0.6,watts,60.0,45.0,
0.8,watts,60.0,45.0,
1.0,watts,60.0,45.0,
1.1,watts,60.0,45.0,
1.25,watts,60.0,45.0,
1.5,watts,60.0,45.0,
1.75,watts,60.0,45.0,
2.5,watts,60.0,45.0,
3.0,watts,60.0,45.0,
5.5,watts,60.0,45.0,
8.0,watts,60.0,45.0,
15.0,watts,60.0,45.0,
