value,units,duration,cleanup,beam_diameter
450.0,temp,720.0,60.0
475.0,temp,720.0,60.0
500.0,temp,720.0,60.0
525.0,temp,720.0,60.0
550.0,temp,720.0,60.0
575.0,temp,720.0,60.0
600.0,temp,720.0,60.0
625.0,temp,720.0,60.0
650.0,temp,720.0,60.0
600.0,temp,2520.0,60.0
550.0,temp,7320.0,60.0
675.0,temp,720.0,60.0
700.0,temp,720.0,60.0
725.0,temp,720.0,60.0
750.0,temp,720.0,60.0
750.0,temp,1320.0,60.0
775.0,temp,720.0,60.0
800.0,temp,720.0,60.0
825.0,temp,720.0,60.0
850.0,temp,720.0,60.0
800.0,temp,2520.0,60.0
750.0,temp,7320.0,60.0
875.0,temp,720.0,60.0
900.0,temp,720.0,60.0
925.0,temp,720.0,60.0
950.0,temp,720.0,60.0
975.0,temp,720.0,60.0
1000.0,temp,720.0,60.0
1025.0,temp,720.0,60.0
1050.0,temp,720.0,60.0
1000.0,temp,2520.0,60.0
950.0,temp,7320.0,60.0
1100.0,temp,720.0,60.0
1100.0,temp,1320.0,60.0
1150.0,temp,720.0,60.0
1150.0,temp,1320.0,60.0
1200.0,temp,300.0,60.0
1250.0,temp,300.0,60.0
1450.0,temp,300.0,60.0
1670.0,temp,300.0,60.0
