value,units,duration,cleanup
0.5,watts,40.0,60.0
0.65,watts,40.0,60.0
0.8,watts,40.0,60.0
1.0,watts,40.0,60.0
1.5,watts,40.0,60.0
1.7,watts,40.0,60.0
1.9,watts,40.0,60.0
2.1,watts,40.0,60.0
2.25,watts,40.0,60.0
2.5,watts,40.0,60.0
3.5,watts,40.0,60.0
4.0,watts,40.0,60.0
5.0,watts,40.0,60.0
7.0,watts,40.0,60.0
21.0,watts,40.0,60.0
23.0,watts,40.0,60.0
