value,units,duration,cleanup,beam_diameter
1.0,watts,45.0,60.0,
2.0,watts,45.0,60.0,
3.0,watts,45.0,60.0,
4.0,watts,45.0,60.0,
6.0,watts,45.0,60.0,
7.0,watts,45.0,60.0,
8.0,watts,45.0,60.0,
9.0,watts,45.0,60.0,
10.0,watts,45.0,60.0,
11.0,watts,45.0,60.0,
12.0,watts,45.0,60.0,
15.0,watts,45.0,60.0,
20.0,watts,45.0,60.0,
25.0,watts,45.0,60.0,
