parabolic
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.77429,3.84925,3.92827,4.00945,4.11803,4.10262
Ar39,3.69964,3.77382,3.85110,3.98170,4.03710,4.02133
Ar36,3.47251,3.42433,3.61477,3.69118,3.77429,3.77340
