parabolic
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.79843,3.87838,3.95795,4.03970,4.14905,4.13353
Ar39,3.72326,3.80242,3.88024,4.01176,4.06755,4.05167
Ar36,3.49453,3.45048,3.64225,3.71920,3.80289,3.80200
